episode,timestep,reward
200,10000,-221.192
400,20000,-220.5497
600,30000,-221.1716
800,40000,-222.3478
1000,50000,-223.1201
1200,60000,-223.9263
1400,70000,-223.5287
1600,80000,-222.7337
1800,90000,-222.4184
2000,100000,-221.1809
2200,110000,-219.8875
2400,120000,-218.4475
2600,130000,-217.6265
2800,140000,-216.9187
3000,150000,-216.321
3200,160000,-215.8613
3400,170000,-215.6263
3600,180000,-215.3679
3800,190000,-215.0758
4000,200000,-214.8168
4200,210000,-214.5239
4400,220000,-214.135
4600,230000,-214.0201
4800,240000,-213.8782
5000,250000,-213.7542
5200,260000,-213.4799
5400,270000,-213.3316
5600,280000,-213.3119
5800,290000,-213.2588
6000,300000,-213.1755
6200,310000,-213.2017
6400,320000,-213.0025
6600,330000,-212.9601
6800,340000,-212.9602
7000,350000,-212.7428
7200,360000,-212.9037
7400,370000,-212.8081
7600,380000,-212.7415
7800,390000,-212.7515
8000,400000,-212.7097
8200,410000,-212.6618
8400,420000,-212.5874
8600,430000,-212.5224
8800,440000,-212.556
9000,450000,-212.5369
9200,460000,-212.4156
9400,470000,-212.2745
9600,480000,-212.3343
9800,490000,-212.3123
10000,500000,-212.266
10200,510000,-212.2403
10400,520000,-212.2912
10600,530000,-212.2886
10800,540000,-212.2364
11000,550000,-212.1472
11200,560000,-212.141
11400,570000,-212.2003
11600,580000,-212.1831
11800,590000,-212.177
12000,600000,-212.2141
12200,610000,-212.2362
12400,620000,-212.2415
12600,630000,-212.1981
12800,640000,-212.2059
13000,650000,-212.2175
13200,660000,-212.2115
13400,670000,-212.2137
13600,680000,-212.1858
13800,690000,-212.1973
14000,700000,-212.2162
14200,710000,-212.1921
14400,720000,-212.1762
14600,730000,-212.093
14800,740000,-212.1057
15000,750000,-212.099
15200,760000,-212.078
15400,770000,-212.0043
15600,780000,-212.0287
15800,790000,-211.9723
16000,800000,-212.0053
16200,810000,-211.99
16400,820000,-211.9798
16600,830000,-211.9786
16800,840000,-211.9822
17000,850000,-212.0001
17200,860000,-212.0309
17400,870000,-212.0067
17600,880000,-211.9322
17800,890000,-211.9621
18000,900000,-211.9563
