episode,timestep,reward
1,100,-249.9718
3,200,-249.9552
5,300,-228.963
7,400,-249.9737
9,500,-248.8821
11,600,-218.0906
13,700,-216.2637
15,800,-249.9977
17,900,-249.9957
19,1000,-249.9737
21,1100,-178.7481
23,1200,-246.2722
25,1300,-249.9996
27,1400,-249.8801
29,1500,-219.5003
31,1600,-249.9998
33,1700,-249.9455
35,1800,-227.4522
37,1900,-249.9995
39,2000,-220.1132
41,2100,-249.2202
43,2200,-249.6559
45,2300,-236.5044
47,2400,-245.8596
49,2500,-225.6576
51,2600,-249.9799
53,2700,-235.2481
55,2800,-249.9988
57,2900,-249.9688
59,3000,-222.1553
61,3100,-249.9209
63,3200,-200.483
65,3300,-238.9425
67,3400,-245.5909
69,3500,-229.6689
71,3600,-230.9914
73,3700,-249.6536
75,3800,-249.997
77,3900,-231.0272
79,4000,-249.6648
81,4100,-187.9399
83,4200,-249.9489
85,4300,-203.6329
87,4400,-249.9305
89,4500,-235.8527
91,4600,-249.9985
93,4700,-236.5988
95,4800,-226.5936
97,4900,-234.8325
99,5000,-249.9986
101,5100,-237.4983
103,5200,-238.5962
105,5300,-209.9472
107,5400,-234.3754
109,5500,-249.4749
111,5600,-248.9635
113,5700,-223.2216
115,5800,-226.7369
117,5900,-249.305
119,6000,-222.5889
121,6100,-250.0
123,6200,-226.8309
125,6300,-250.0
127,6400,-229.138
129,6500,-249.9394
131,6600,-238.1209
133,6700,-235.7241
135,6800,-239.3666
137,6900,-249.5531
139,7000,-237.6345
141,7100,-249.9998
143,7200,-200.3588
145,7300,-240.3973
147,7400,-249.9992
149,7500,-250.0
151,7600,-250.0
153,7700,-241.1208
155,7800,-232.2312
157,7900,-219.2232
159,8000,-239.147
161,8100,-209.4468
163,8200,-240.1685
165,8300,-210.6749
167,8400,-213.2764
169,8500,-249.7766
171,8600,-219.4964
173,8700,-249.9998
175,8800,-214.0175
177,8900,-233.4787
179,9000,-224.2333
181,9100,-208.898
183,9200,-241.9621
185,9300,-233.0862
187,9400,-215.3684
189,9500,-198.2856
191,9600,-227.2083
193,9700,-224.2798
195,9800,-222.6523
197,9900,-220.4175
199,10000,-227.5595
201,10100,-226.6365
203,10200,-216.9761
205,10300,-213.4321
207,10400,-226.4461
209,10500,-195.312
211,10600,-230.6879
213,10700,-184.2325
215,10800,-223.6223
217,10900,-199.6457
219,11000,-231.7104
221,11100,-209.5025
223,11200,-208.5328
225,11300,-197.4317
227,11400,-210.6973
229,11500,-209.5596
231,11600,-190.8668
233,11700,-187.2714
235,11800,-203.9894
237,11900,-230.3668
239,12000,-214.8116
241,12100,-226.5673
243,12200,-158.8787
245,12300,-212.0995
247,12400,-212.032
249,12500,-234.5779
251,12600,-210.3169
253,12700,-199.1044
255,12800,-191.4838
257,12900,-154.2527
259,13000,-209.2495
261,13100,-198.4199
263,13200,-204.4894
265,13300,-216.7643
267,13400,-210.4703
269,13500,-181.7548
271,13600,-220.2073
273,13700,-172.7065
275,13800,-227.5101
277,13900,-229.9205
279,14000,-200.0796
281,14100,-200.5293
283,14200,-194.8602
285,14300,-232.4494
287,14400,-223.0
289,14500,-199.9136
291,14600,-221.6919
293,14700,-238.9695
295,14800,-196.7172
297,14900,-200.3742
299,15000,-170.3837
301,15100,-181.1359
303,15200,-195.3482
305,15300,-205.1444
307,15400,-191.9066
309,15500,-189.9756
311,15600,-178.9562
313,15700,-224.3482
315,15800,-203.603
317,15900,-217.8631
319,16000,-220.2141
321,16100,-177.0278
323,16200,-200.5077
325,16300,-114.3548
327,16400,-230.1562
329,16500,-206.5002
331,16600,-170.0804
333,16700,-227.2129
335,16800,-227.27
337,16900,-227.4192
339,17000,-233.9669
341,17100,-209.0785
343,17200,-221.1975
345,17300,-184.9852
347,17400,-202.2899
349,17500,-213.6357
351,17600,-192.6461
353,17700,-204.8189
355,17800,-196.368
357,17900,-227.3586
359,18000,-219.6807
361,18100,-225.0803
363,18200,-198.7599
365,18300,-210.0881
367,18400,-205.2053
369,18500,-209.1589
371,18600,-188.6727
373,18700,-177.6241
375,18800,-225.435
377,18900,-235.4582
379,19000,-207.9521
381,19100,-197.4646
383,19200,-222.9632
385,19300,-229.0734
387,19400,-211.6165
389,19500,-192.3328
391,19600,-222.8348
393,19700,-227.1936
395,19800,-186.0992
397,19900,-226.9257
399,20000,-199.7785
401,20100,-229.3923
403,20200,-202.5381
405,20300,-162.5653
407,20400,-192.994
409,20500,-234.1894
411,20600,-217.6509
413,20700,-233.0041
415,20800,-230.8998
417,20900,-183.0679
419,21000,-234.8188
421,21100,-219.7267
423,21200,-184.6801
425,21300,-206.4018
427,21400,-221.6606
429,21500,-227.0022
431,21600,-223.2324
433,21700,-190.6483
435,21800,-222.6848
437,21900,-206.8643
439,22000,-216.816
441,22100,-227.1668
443,22200,-230.1335
445,22300,-228.6876
447,22400,-228.2681
449,22500,-219.5657
451,22600,-222.6703
453,22700,-209.5567
455,22800,-230.9931
457,22900,-225.584
459,23000,-207.0934
461,23100,-209.1508
463,23200,-197.9889
465,23300,-213.393
