episode,timestep,reward
19,1000,-218.7297
39,2000,-226.1864
59,3000,-231.1458
79,4000,-224.2748
99,5000,-247.2701
119,6000,-239.5158
139,7000,-249.3843
159,8000,-216.2823
179,9000,-217.0223
199,10000,-208.3167
219,11000,-161.0046
239,12000,-202.5194
259,13000,-240.0708
279,14000,-225.7792
299,15000,-217.9331
319,16000,-231.2984
339,17000,-249.8488
359,18000,-246.607
379,19000,-229.7954
399,20000,-240.5671
419,21000,-224.7551
439,22000,-206.989
459,23000,-209.8575
479,24000,-219.2782
499,25000,-219.8615
519,26000,-220.6824
539,27000,-243.2802
559,28000,-233.9495
579,29000,-237.6877
599,30000,-232.3559
619,31000,-221.6665
639,32000,-240.1201
659,33000,-186.9778
679,34000,-218.3085
699,35000,-241.0123
719,36000,-234.4936
739,37000,-215.5877
759,38000,-194.4584
779,39000,-240.1187
799,40000,-198.1582
819,41000,-244.2592
839,42000,-207.101
859,43000,-227.2348
879,44000,-230.2468
899,45000,-228.206
919,46000,-208.8364
939,47000,-242.6043
959,48000,-227.2552
979,49000,-248.8482
999,50000,-246.2139
1019,51000,-240.8807
1039,52000,-245.4275
1059,53000,-224.7084
1079,54000,-220.3816
1099,55000,-239.9669
1119,56000,-216.1959
1139,57000,-247.9204
1159,58000,-202.454
1179,59000,-208.1729
1199,60000,-224.6465
1219,61000,-235.8208
1239,62000,-237.2449
1259,63000,-198.7372
1279,64000,-210.6474
1299,65000,-228.1257
1319,66000,-241.8113
1339,67000,-218.267
1359,68000,-194.8774
1379,69000,-225.9461
1399,70000,-196.8801
1419,71000,-226.0073
1439,72000,-241.4709
1459,73000,-233.6914
1479,74000,-228.7099
1499,75000,-240.0645
1519,76000,-246.4402
1539,77000,-216.8963
1559,78000,-220.3614
1579,79000,-228.0679
1599,80000,-218.9912
1619,81000,-241.93
1639,82000,-234.6543
1659,83000,-215.6339
1679,84000,-228.9618
1699,85000,-215.9595
1719,86000,-232.1453
1739,87000,-227.4811
1759,88000,-210.7252
1779,89000,-246.4709
1799,90000,-247.4645
1819,91000,-249.3682
1839,92000,-238.4173
1859,93000,-220.1142
1879,94000,-205.5022
1899,95000,-218.7894
1919,96000,-229.152
1939,97000,-207.3548
1959,98000,-227.9679
1979,99000,-225.9435
1999,100000,-225.8243
2019,101000,-203.9426
2039,102000,-236.7795
2059,103000,-182.8073
2079,104000,-236.111
2099,105000,-242.5006
2119,106000,-226.4087
2139,107000,-237.5753
2159,108000,-226.9407
2179,109000,-233.8111
2199,110000,-223.4726
2219,111000,-236.0452
2239,112000,-236.64
2259,113000,-225.7317
2279,114000,-228.7903
2299,115000,-202.7158
2319,116000,-245.1813
2339,117000,-249.7007
2359,118000,-215.3258
2379,119000,-241.6101
2399,120000,-228.8462
2419,121000,-237.2212
2439,122000,-239.4802
2459,123000,-235.7943
2479,124000,-223.4583
2499,125000,-234.8196
2519,126000,-230.4937
2539,127000,-205.7414
2559,128000,-242.9032
2579,129000,-223.3945
2599,130000,-241.5733
2619,131000,-185.1579
2639,132000,-178.7678
2659,133000,-226.3369
2679,134000,-213.1992
2699,135000,-244.2039
2719,136000,-248.1575
2739,137000,-220.068
2759,138000,-218.0816
2779,139000,-234.3666
2799,140000,-240.0885
2819,141000,-235.4913
2839,142000,-202.9943
2859,143000,-229.7243
2879,144000,-222.6367
2899,145000,-211.3624
2919,146000,-226.3471
2939,147000,-225.0063
2959,148000,-249.3495
2979,149000,-231.9035
2999,150000,-204.8382
3019,151000,-209.8642
3039,152000,-218.4217
3059,153000,-237.0544
3079,154000,-221.9844
3099,155000,-246.1931
3119,156000,-249.0351
3139,157000,-219.8587
3159,158000,-209.3186
3179,159000,-236.372
3199,160000,-224.1172
3219,161000,-196.8898
3239,162000,-248.155
3259,163000,-240.6613
3279,164000,-244.8938
3299,165000,-195.3079
3319,166000,-218.1603
3339,167000,-237.6291
3359,168000,-224.3029
3379,169000,-246.4964
3399,170000,-215.881
3419,171000,-202.9776
3439,172000,-233.6824
3459,173000,-236.9055
3479,174000,-249.7328
3499,175000,-174.5421
3519,176000,-244.5921
3539,177000,-211.5314
3559,178000,-222.1642
3579,179000,-208.9677
3599,180000,-227.3577
3619,181000,-248.1544
3639,182000,-228.4876
3659,183000,-231.6814
3679,184000,-249.6685
3699,185000,-246.6589
3719,186000,-233.0974
3739,187000,-247.9272
3759,188000,-249.2626
3779,189000,-245.0363
3799,190000,-217.4153
3819,191000,-238.2081
3839,192000,-227.5212
3859,193000,-247.8623
3879,194000,-234.8444
3899,195000,-237.7274
3919,196000,-222.7754
3939,197000,-192.5337
3959,198000,-206.2447
3979,199000,-225.0924
3999,200000,-227.3367
4019,201000,-229.2367
4039,202000,-237.2634
4059,203000,-225.5156
4079,204000,-223.5814
4099,205000,-237.0318
4119,206000,-225.677
4139,207000,-210.0204
4159,208000,-220.5686
4179,209000,-238.0416
4199,210000,-210.5579
4219,211000,-249.0012
4239,212000,-224.8962
4259,213000,-223.9539
4279,214000,-237.1217
4299,215000,-230.8983
4319,216000,-220.3938
4339,217000,-218.241
4359,218000,-229.1824
4379,219000,-198.2891
