episode,timestep,reward
1,100,-194.1526
3,200,-242.5134
5,300,-170.1968
7,400,-208.6425
9,500,-203.5788
11,600,-173.8986
13,700,-210.4297
15,800,-195.92
17,900,-158.6232
19,1000,-139.4038
21,1100,-213.4383
23,1200,-219.9516
25,1300,-230.4366
27,1400,-231.1115
29,1500,-219.5971
31,1600,-229.3827
33,1700,-240.8322
35,1800,-227.3221
37,1900,-221.7202
39,2000,-167.6085
41,2100,-237.6158
43,2200,-212.9343
45,2300,-221.9233
47,2400,-239.4592
49,2500,-249.9998
51,2600,-249.9757
53,2700,-183.228
55,2800,-195.435
57,2900,-221.3596
59,3000,-196.2312
61,3100,-185.9055
63,3200,-238.8128
65,3300,-114.378
67,3400,-248.1708
69,3500,-234.7395
71,3600,-220.7341
73,3700,-221.2696
75,3800,-164.3189
77,3900,-240.2336
79,4000,-248.3738
81,4100,-176.8751
83,4200,-177.1755
85,4300,-219.8869
87,4400,-238.3958
89,4500,-232.7654
91,4600,-215.0527
93,4700,-245.1045
95,4800,-249.9954
97,4900,-223.512
99,5000,-241.1806
101,5100,-226.3769
103,5200,-228.6095
105,5300,-241.1568
107,5400,-227.459
109,5500,-233.2532
111,5600,-224.0585
113,5700,-224.1614
115,5800,-235.6055
117,5900,-211.5967
119,6000,-183.8118
121,6100,-226.4409
123,6200,-238.5763
125,6300,-206.9421
127,6400,-249.999
129,6500,-227.6776
131,6600,-232.1005
133,6700,-224.7313
135,6800,-240.674
137,6900,-232.7908
139,7000,-228.9136
141,7100,-236.5093
143,7200,-239.0578
145,7300,-249.7994
147,7400,-200.7005
149,7500,-232.0815
151,7600,-221.6695
153,7700,-219.8554
155,7800,-213.6487
157,7900,-230.1148
159,8000,-195.9822
161,8100,-250.0
163,8200,-249.9984
165,8300,-242.2421
167,8400,-249.3752
169,8500,-244.4393
171,8600,-223.3231
173,8700,-225.7608
175,8800,-249.999
177,8900,-249.9992
179,9000,-249.9923
181,9100,-250.0
183,9200,-250.0
185,9300,-249.9953
187,9400,-183.4167
189,9500,-231.4372
191,9600,-249.8241
193,9700,-249.9997
195,9800,-214.3314
197,9900,-249.9986
199,10000,-249.9983
201,10100,-248.1087
203,10200,-219.7218
205,10300,-215.9993
207,10400,-159.5316
209,10500,-249.9993
211,10600,-241.7817
213,10700,-250.0
215,10800,-249.9605
217,10900,-193.8737
219,11000,-249.9989
221,11100,-249.9925
223,11200,-222.1947
225,11300,-196.7011
227,11400,-249.8544
229,11500,-249.9996
231,11600,-234.5552
233,11700,-229.5307
235,11800,-249.662
237,11900,-249.7613
239,12000,-249.1373
241,12100,-249.251
243,12200,-249.5504
245,12300,-237.9848
247,12400,-249.5056
249,12500,-211.1917
251,12600,-219.0465
253,12700,-249.9972
255,12800,-249.6952
257,12900,-167.1393
259,13000,-249.9988
261,13100,-206.5966
263,13200,-229.9806
265,13300,-249.9996
267,13400,-216.3853
269,13500,-249.9871
271,13600,-249.3098
273,13700,-249.8922
275,13800,-249.7471
277,13900,-249.5084
279,14000,-235.4457
281,14100,-249.5019
283,14200,-250.0
285,14300,-249.9881
287,14400,-249.9998
289,14500,-249.7122
291,14600,-249.9765
293,14700,-249.9569
295,14800,-249.9999
297,14900,-249.9999
299,15000,-249.9852
301,15100,-238.1357
303,15200,-229.9701
305,15300,-235.865
307,15400,-198.0973
309,15500,-243.9925
311,15600,-249.9994
313,15700,-249.9591
315,15800,-249.9824
317,15900,-232.5323
319,16000,-242.6912
321,16100,-231.5125
323,16200,-220.6318
325,16300,-249.9962
327,16400,-236.697
329,16500,-197.4223
331,16600,-205.4576
333,16700,-213.872
335,16800,-230.9568
337,16900,-199.1967
339,17000,-231.6308
341,17100,-235.2932
343,17200,-227.1664
345,17300,-240.2513
347,17400,-207.0292
349,17500,-233.2616
351,17600,-216.2007
353,17700,-237.1112
355,17800,-241.6049
357,17900,-227.3469
359,18000,-228.4318
361,18100,-233.7927
363,18200,-231.5944
365,18300,-242.7787
367,18400,-234.7979
369,18500,-198.8711
371,18600,-220.86
373,18700,-236.8571
375,18800,-249.4801
377,18900,-250.0
379,19000,-249.9999
381,19100,-249.9995
383,19200,-232.3688
385,19300,-234.5791
387,19400,-231.8186
389,19500,-250.0
391,19600,-249.9994
393,19700,-249.9996
395,19800,-237.0932
397,19900,-227.9026
399,20000,-248.1227
401,20100,-224.9938
403,20200,-222.8961
405,20300,-242.4574
407,20400,-237.6691
409,20500,-241.9457
411,20600,-248.4618
413,20700,-233.6108
415,20800,-249.9999
417,20900,-249.9945
419,21000,-230.1163
421,21100,-233.8112
423,21200,-244.1275
425,21300,-243.5206
427,21400,-234.5802
429,21500,-234.94
431,21600,-238.6024
433,21700,-244.2787
435,21800,-223.891
437,21900,-249.9621
439,22000,-249.9346
441,22100,-250.0
443,22200,-242.6134
445,22300,-235.5184
447,22400,-238.1184
449,22500,-234.4489
451,22600,-236.5952
453,22700,-232.9585
455,22800,-249.9998
457,22900,-250.0
